25-Aug-19 20:20:24 - Function: get_database_products_filtered_front - When: Getting - Message: 'min_price' - Arguments: store_id: 5d44a79575ebfd0bfcc4a69d - store_code: plie - search_word: ref - search_type: busca - json_filter: {'category': [], 'public': [], 'deliver': [], 'state': [], 'order': '--- Ordenar por ---'} - start: 2
25-Aug-19 20:20:24 - 127.0.0.1 - - [25/Aug/2019 20:20:24] "POST /webapi/products_filtered_front/plie/ref/busca?s=2 HTTP/1.1" 200 -
25-Aug-19 20:20:27 - 127.0.0.1 - - [25/Aug/2019 20:20:27] "GET /webapi/banners/G55 HTTP/1.1" 200 -
25-Aug-19 20:20:27 - 127.0.0.1 - - [25/Aug/2019 20:20:27] "GET /webapi/categories?sc=ALL HTTP/1.1" 200 -
25-Aug-19 20:20:27 - 127.0.0.1 - - [25/Aug/2019 20:20:27] "GET /webapi/products_covers/G55?s=1 HTTP/1.1" 200 -
25-Aug-19 20:20:29 - 127.0.0.1 - - [25/Aug/2019 20:20:29] "GET /webapi/categories?sc=ALL HTTP/1.1" 200 -
25-Aug-19 20:20:29 - 127.0.0.1 - - [25/Aug/2019 20:20:29] "GET /webapi/stores_front/All?s=1 HTTP/1.1" 200 -
25-Aug-19 20:20:33 - 127.0.0.1 - - [25/Aug/2019 20:20:33] "GET /webapi/categories?sc=ALL HTTP/1.1" 200 -
25-Aug-19 20:20:33 - 127.0.0.1 - - [25/Aug/2019 20:20:33] "GET /webapi/stores_front/All?s=1 HTTP/1.1" 200 -
25-Aug-19 20:20:37 - 127.0.0.1 - - [25/Aug/2019 20:20:37] "GET /webapi/artists_all_front?s=1 HTTP/1.1" 200 -
25-Aug-19 20:20:37 - 127.0.0.1 - - [25/Aug/2019 20:20:37] "GET /webapi/categories?sc=ALL HTTP/1.1" 200 -
25-Aug-19 20:20:50 - 127.0.0.1 - - [25/Aug/2019 20:20:50] "GET /webapi/categories?sc=ALL HTTP/1.1" 200 -
25-Aug-19 20:20:50 - 127.0.0.1 - - [25/Aug/2019 20:20:50] "GET /webapi/stores_front/All?s=1 HTTP/1.1" 200 -
